image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistLEN,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,Unnamed: 14,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_idmnc,type_cshad,roi_corrp,texture3d_mean_autoc,texture3d_mean_contr,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_dvarh,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_senth,neighbor3d_sosvh,bin_num3d_inf2h,short_image_name
appliedMASKiso_shg_1mgml_roi1_8bit.ome,1,77.56147059,57.35164706,0.928797059,3.853052941,73.811,53.993,0.93895,3.7951,17.0,45.06159014,22.79568618,0.031634956,0.6860879,1.0,1835.0,69.4294,1565.0,26.0,60.1923,10.0,1.1033,0.021,0.0071,0.2031,131072.0,,0.5712404847145081,278.93121337890625,0.35822567343711853,7.517390727996826,7.564780235290527,242.99171447753906,0.7403808236122131,0.5509593486785889,279.6763000488281,0.40046608448028564,7.398016929626465,6.875381946563721,242.169677734375,0.7495817542076111,0.2641492784023285,179.22633361816406,0.1517079621553421,4.8865509033203125,5.912891387939453,168.1574249267578,0.1796254962682724,1mgml,shg,roi1,7697.0216089003,2638.320099255583,24658.636390686035,18485.558059692383,67.43074003795067,22223.68031311035,17518.222303313385,7779.984965698438,2638.320099255583,48626.02032520325,12258.075317471901,60151.400406504064,60118.74893025246,65359.87184424476,64325.872913992294,65348.01844787598,9937.998433654062,53579.4972186564,22424.878476679503,14385.27309881769,6645.955391527599,8874.825738125803,7090.5,24670.0,18482.0,30.0,22215.0,18233.0,6156.0,2007.0,53328.5,10992.0,62211.0,62211.0,65432.0,64796.0,65535.0,9614.0,58855.0,21607.0,13165.0,5788.0,8875.0,1444.5869587350383,2270.3449044717604,1191.6229703688234,256.7085105136972,107.78160468418425,60.025637075526824,8997.247760856795,6247.056432851989,2270.3449044717604,16962.244353508908,8420.800233906,5928.621897361119,5993.198158162439,204.29914910894092,1343.2023130125506,1427.133410438501,6312.683848242765,13789.585085600098,1974.9006789439711,8943.274749583512,1592.331684698514,1088.9347064645456,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,2,65.43718,56.57813333,0.912439333,4.164966667,56.889,41.171,0.92234,4.2963,15.0,49.09853654,35.38051191,0.045654978,0.744067029,2.0,1819.0,70.0577,1528.0,34.0,44.9412,11.0,1.1172,0.0264,0.0078,0.2154,131072.0,,0.5693814158439636,272.89202880859375,0.36722156405448914,7.419185638427734,7.442600727081299,243.0628204345703,0.7425922155380249,0.5364512205123901,278.81951904296875,0.4072006642818451,7.600028038024902,6.951449871063232,243.89120483398438,0.7399997711181641,0.25150245428085327,167.03109741210938,0.1629301905632019,4.559398651123047,5.380958080291748,162.2222900390625,0.16575893759727478,1mgml,shg,roi1,7709.7092254563395,2606.622023434547,24677.019493103027,18487.71669769287,70.27403300995338,22226.3544921875,17615.5667128638,7690.887992944437,2606.6218974423587,47352.13537247163,12436.029230187729,59846.95254070054,59813.03295510607,65350.10202269364,64257.695806610755,65328.151931762695,9366.625251969946,52763.04400592008,22452.234435125803,14544.37570870606,6658.589935865812,8752.294523926987,7209.0,24670.0,18482.0,33.0,22215.0,18306.0,6177.0,2016.0,51058.0,11186.0,61570.0,61563.0,65412.0,64652.0,65535.0,8637.0,57498.0,21791.0,13341.0,6059.0,8666.0,1336.1853182641578,2184.0528867172875,1296.3718024306497,322.9164329009083,108.1919366059899,68.86374650603607,8791.05451954972,6046.649189655163,2184.052744928851,16812.734172989534,8333.221930071342,5800.135209881147,5862.165187004119,199.295476558472,1313.6685879141667,1463.0723812646622,6197.9004069735365,13747.072895425534,1838.8143192661535,8826.686181855517,1470.680655581917,961.3478194596789,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,3,85.41502667,64.0744,0.925656,3.697413333,72.979,54.229,0.93036,3.5555,15.0,57.06552519,42.26531882,0.028040476,0.84301276,3.0,1973.0,64.4333,1630.0,36.0,45.2778,7.0,1.1328,0.0139,0.0085,0.2763,131072.0,,0.5612151622772217,285.431884765625,0.3884746730327606,7.629732131958008,7.846242427825928,258.0496520996094,0.7367360591888428,0.5364053845405579,289.6483154296875,0.4099445044994354,7.747772216796875,7.165217399597168,253.3588409423828,0.7400957345962524,0.2543448507785797,174.5294189453125,0.14744338393211365,4.665472507476807,5.656328201293945,170.1190948486328,0.16834165155887604,1mgml,shg,roi1,7794.759162818119,2645.2960394876013,24695.365432739258,18487.69406890869,72.50334939475849,22227.701766967773,17794.184392995652,7808.726172288166,2645.2960394876013,45788.067308637124,12601.327535550594,59368.32543971701,59331.75041760833,65334.65510464773,64150.33064753857,65314.87966918945,9296.692101501072,51658.694900265305,22574.066915593987,14762.136208720178,6749.953915692247,8699.02191215486,7314.0,24670.0,18482.0,36.0,22215.0,18799.0,6472.0,2120.0,48209.0,11534.0,60765.0,60761.0,65387.0,64472.0,65535.0,8564.5,55739.0,21948.0,13813.0,6183.0,8560.0,1353.0970044529597,2180.4028755896743,1368.2205498033663,346.59839796816647,116.2667448033983,73.94596828851368,8746.112905642296,6018.946882068313,2180.4028755896743,16716.64073474524,8284.442128214696,5792.94739817626,5856.745280221444,200.12705000078736,1312.7332361581468,1563.0193585831405,6465.754654268458,13768.574755237863,1860.2560992992078,8787.652134864102,1515.1546634777171,945.0522605604874,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,4,84.4317619,62.78057143,0.920319524,3.334738095,70.641,42.649,0.92973,3.2341,21.0,53.13563715,40.46656798,0.042736944,0.712637397,4.0,2123.0,59.7395,1712.0,29.0,59.0345,12.0,1.1437,0.0168,0.0099,0.2533,131072.0,,0.5276640057563782,307.93377685546875,0.3888852596282959,8.297073364257812,9.052070617675781,277.92852783203125,0.7063153982162476,0.5073592066764832,310.1492614746094,0.4258984625339508,8.28717041015625,7.645534515380859,264.664794921875,0.720564067363739,0.2814992368221283,193.56251525878906,0.14424653351306915,5.252338409423828,7.0278639793396,185.54348754882812,0.19905930757522583,1mgml,shg,roi1,7815.660116007272,2745.789705882353,24693.89315032959,18488.397178649902,77.09800420168067,22229.742225646973,18248.889495798318,8110.093802521008,2745.789705882353,45418.937061726254,12990.135084033613,59220.24309583586,59183.490953164226,65330.004328629555,64117.32516665224,65279.961166381836,9380.214780964387,51327.5058436499,22605.902952125358,15188.721743697479,6773.018353389317,8697.423513115747,7327.0,24670.0,18482.0,40.0,22215.0,19451.0,6836.0,2254.5,47953.0,12143.5,60676.0,60664.0,65384.0,64451.0,65535.0,8595.5,55594.0,21968.0,14443.5,6194.0,8547.0,1346.8056270580337,2195.8339307344304,1481.534310739716,352.23621330356985,150.98049833793016,87.58361316059782,8579.24724121027,6049.969471390042,2195.8339307344304,16866.96063543806,8237.301453724116,5875.278412907241,5937.903657766258,202.76135112012147,1330.6913966683546,1708.2794828174117,6603.230968056454,13927.806473426781,1848.56955562258,8712.354902628746,1515.6281106053334,946.715660931016,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,5,96.94535294,61.07770588,0.931061176,3.933464706,84.943,53.234,0.94012,3.7398,17.0,61.09637033,26.61193174,0.03716963,0.855000476,5.0,1940.0,65.5634,1630.0,27.0,60.3704,7.0,1.1025,0.0225,0.01,0.2186,131072.0,,0.5385096669197083,298.7470397949219,0.3946996331214905,8.10673999786377,9.271995544433594,283.89801025390625,0.7104666233062744,0.5617664456367493,282.5926513671875,0.44817861914634705,7.484583377838135,6.825237274169922,254.88087463378906,0.7557056546211243,0.29044923186302185,191.66587829589844,0.15381963551044464,5.302293300628662,7.848381996154785,202.8706817626953,0.20945954322814941,1mgml,shg,roi1,7899.10425432445,2920.032733408324,24702.464820861816,18487.430656433105,89.4556805399325,22229.959671020508,18924.53003374578,8577.781327334083,2920.032733408324,44270.236278634875,13671.914510686163,58811.502571295,58767.492660121556,65315.24301075269,64023.58494623656,65285.8119430542,9645.330118232732,50351.27667134175,22717.70107526882,15903.217097862767,6857.445254791959,8682.287237026649,7389.0,24670.0,18482.0,46.0,22215.0,20263.5,7358.0,2421.5,46114.0,12993.5,60112.0,60107.0,65365.0,64327.0,65535.0,8760.0,54346.0,22058.0,15410.5,6243.0,8537.0,1431.9037081884182,2270.0222429566525,1511.0742796553998,323.14050593094277,190.65446487341416,94.19073876945502,8548.736718141143,6184.255667150389,2270.0222429566525,17143.38052377853,8411.409702402325,6033.971768248238,6104.424578516706,210.62116405199072,1369.3100707312824,1690.1721709578435,6800.273742356598,14381.902666893326,1941.1462859707099,8848.176406521432,1594.3685822403866,968.2807536637541,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,6,95.73346667,62.25933333,0.902843333,3.365026667,83.66,55.286,0.91149,3.329,15.0,62.46332999,36.33842267,0.032163602,0.543705642,6.0,1495.0,85.6742,1254.0,31.0,40.4516,9.0,1.1196,0.0174,0.009,0.2422,131072.0,,0.568518340587616,286.1650390625,0.37833425402641296,7.670465469360352,8.507622718811035,278.6684875488281,0.7336346507072449,0.5975121855735779,260.14556884765625,0.3979262113571167,6.868701934814453,5.917548656463623,220.04409790039062,0.7781043648719788,0.2791861891746521,188.05923461914062,0.16897577047348022,5.150852203369141,7.621565341949463,220.5135498046875,0.1978456676006317,1mgml,shg,roi1,7971.141099618944,2984.613810079026,24703.454177856445,18486.50984954834,93.43062572872134,22228.107398986816,19172.560176188625,8728.599429977976,2984.613810079026,43722.57474142624,13898.24510947014,58628.65737615678,58579.1804028307,65307.99324986391,63980.78747958628,65329.667053222656,9493.778586892344,49896.67588459445,22808.545127925965,16143.21609016712,6920.1244420250405,8707.676864452913,7421.0,24670.0,18482.0,48.0,22215.0,20301.0,7408.0,2432.0,45466.0,13024.0,59923.0,59918.0,65360.0,64284.0,65535.0,8410.0,53940.0,22106.0,15481.0,6257.0,8540.0,1565.7116409255111,2330.4714876070752,1379.8064145815968,291.63628884301266,186.50880257238202,85.10601886951633,8588.609072197025,6260.3387541679485,2330.4714876070752,17234.537691016678,8571.733327476375,6081.074327669004,6162.760174599713,215.68576196185012,1384.3004817422357,1516.6901255638038,6833.7636048713575,14556.390429618132,2084.045239378505,8955.76123959834,1721.624756424549,1051.3763563401362,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,7,94.09183333,62.76266667,0.93233,3.964175,89.002,64.0495,0.93323,3.9241,12.0,58.16287937,25.09786303,0.021941403,0.535714486,7.0,1476.0,86.8028,1306.0,29.0,45.0345,5.0,1.1035,0.0079,0.0084,0.09573,131072.0,,0.6095576882362366,260.49896240234375,0.36295631527900696,6.946252346038818,7.2927045822143555,244.3553466796875,0.7641780972480774,0.6385465860366821,237.32208251953125,0.3790836036205292,6.192814826965332,5.021883010864258,188.39089965820312,0.8034883737564087,0.26390817761421204,180.58566284179688,0.1626051813364029,4.9193806648254395,6.848174571990967,201.7535858154297,0.18350857496261597,1mgml,shg,roi1,7984.157672561323,2987.7158858079497,24710.999794006348,18486.605407714844,95.78459226881573,22227.650032043457,19193.963939352547,8754.214588171015,2987.7158858079497,43753.03502567028,13973.337931976506,58646.219167142044,58598.61814033086,65309.108841985166,63985.442897889334,65331.76486206055,9879.218583042973,49937.575242441526,22828.00559041643,16225.260893320585,6923.3451226468915,8724.862863662293,7437.0,24670.0,18482.0,49.0,22215.0,20764.0,7718.0,2537.0,45064.0,13562.0,59779.0,59766.0,65355.0,64250.0,65535.0,8887.0,53663.0,22130.0,15986.0,6248.0,8536.0,1555.3760274166716,2289.1585451505416,1393.184467046932,291.52045204936513,175.54646791126797,82.42629050024074,8697.542858739122,6220.143988685343,2289.1585451505416,17363.57653206102,8640.650927238128,6076.904062161626,6152.60749373176,213.03364031764463,1380.8062240897266,1517.3309761724724,7001.209292811154,14522.157076520007,2061.6938376150856,9077.452403987556,1699.7062198760186,1020.3054959645701,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,8,83.17859474,55.59521053,0.915994211,3.755468421,71.878,42.097,0.92896,3.7285,19.0,56.5358038,40.13620696,0.047787066,0.968088099,8.0,1613.0,79.2604,1387.0,20.0,69.35,10.0,1.0839,0.0126,0.0089,0.1363,131072.0,,0.6234561204910278,248.2901153564453,0.35376355051994324,6.607527256011963,6.873944282531738,230.33905029296875,0.7749208807945251,0.6627309918403625,214.8361358642578,0.35609644651412964,5.689156532287598,4.932843208312988,187.54237365722656,0.8181595802307129,0.2525763213634491,175.10926818847656,0.1772080957889557,4.681913375854492,6.5559892654418945,190.47242736816406,0.17500832676887512,1mgml,shg,roi1,7903.434897103287,2972.5231600933776,24710.3656539917,18484.607055664062,93.82135397468977,22229.05857849121,19126.878609165746,8692.875783265757,2972.5231600933776,44930.119184628886,13870.92062906991,59036.54998537013,58991.57631912611,65321.49283136643,64072.89612796255,65306.29574584961,9725.053024645258,50808.538964205596,22716.718228811078,16123.741000122865,6840.756949185604,8754.103091778015,7370.0,24670.0,18482.0,48.0,22215.0,20738.0,7739.0,2532.0,46746.0,13358.0,60282.0,60278.0,65372.0,64366.0,65535.0,8793.0,54811.0,22031.0,15801.0,6199.0,8588.0,1502.6435484332553,2312.289034641931,1442.206487699982,185.6698156808972,172.46050463870927,87.00424921617747,8764.096027866048,6184.789949221141,2312.289034641931,17532.35913050512,8593.872890552097,6059.859447553501,6136.160959042431,214.25209697352886,1377.949212639033,1589.768711536566,6803.176434770403,14451.682176439841,2006.43998060819,9066.15745418939,1632.3330982485477,1024.3010158898737,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,9,81.2867,65.70715385,0.934031538,4.107946154,75.174,42.699,0.93546,4.3061,13.0,50.87807253,43.74352806,0.023443191,0.963227172,9.0,1758.0,72.558,1512.0,22.0,68.7273,4.0,1.0642,0.0133,0.0101,0.09373,131072.0,,0.6308433413505554,239.1765899658203,0.38038456439971924,6.362410545349121,6.7352705001831055,234.5845489501953,0.7819511294364929,0.661963164806366,219.2923583984375,0.3926965296268463,5.736888408660889,5.04110860824585,193.4105682373047,0.8175048828125,0.24268826842308044,159.23191833496094,0.18191318213939667,4.322021961212158,6.18720817565918,189.12548828125,0.16524022817611694,1mgml,shg,roi1,8003.780919407578,3129.132735961768,24710.66636657715,18485.87035369873,100.83536439665473,22229.510917663574,19709.49928315412,9080.070250896057,3129.1326164874554,43869.23850740527,14401.34623655914,58669.6337757261,58615.645797268706,65307.27736103097,63987.57126370456,65296.4206237793,9472.323394495414,49906.332275437584,22849.24552798615,16671.654360812427,6941.808905558762,8770.645604924024,7427.0,24670.0,18482.0,51.5,22215.0,21369.0,8184.5,2683.5,45269.0,14010.0,59855.0,59853.0,65359.0,64272.0,65535.0,8588.0,53815.0,22118.0,16486.0,6256.0,8576.0,1624.8878753669035,2438.020908050634,1474.521202398601,239.8770654208018,192.13419342587002,89.04771757362566,8713.462881822057,6305.578678883526,2438.0205062926416,17696.318868817787,8696.726617804397,6169.01515539082,6262.082261339696,225.07313040578268,1409.7775432171068,1638.680940003443,6805.847373859087,14808.217468508235,2143.934477378826,9096.91006527003,1764.0258167224795,1099.321316232761,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_shg_1mgml_roi1_8bit.ome,10,87.98836,65.71486667,0.931970667,3.508826667,78.341,45.727,0.93872,3.4177,15.0,52.44384181,49.32147227,0.033686693,0.7336733,10.0,1545.0,82.8369,1307.0,26.0,50.2692,4.0,1.048,0.013,0.01,0.0486,131072.0,,0.703880250453949,199.72039794921875,0.4374825358390808,5.085313320159912,5.537242889404297,216.2913055419922,0.8314638733863831,0.7611960768699646,158.94674682617188,0.5016046762466431,3.997957229614258,3.8058905601501465,165.266845703125,0.8755391836166382,0.21737001836299896,154.13864135742188,0.18403171002864838,3.9303762912750244,5.280071258544922,186.513427734375,0.13956105709075928,1mgml,shg,roi1,8374.725420140267,3595.03599820009,24718.180450439453,18484.701293945312,129.41877906104693,22228.047370910645,21298.58377081146,10292.395380230988,3595.03599820009,39144.72647876141,16108.132893355332,57045.81315336774,56964.04393277756,65248.63609898108,63615.34378721715,65340.658699035645,10041.533282471868,45974.24282122535,23353.644700277888,18422.782660866957,7328.261876405982,8745.28344581183,7768.0,24670.0,18482.0,69.0,22215.0,23286.0,9790.0,3223.0,38132.0,16362.0,57620.0,57598.0,65287.0,63768.0,65535.0,9033.0,48718.0,22616.0,18950.0,6597.0,8476.0,1817.7969887161844,2611.848894302986,1340.9874182330234,185.47653060181875,259.63984550307487,95.51710983608496,8632.844469015603,6543.992987065001,2611.848894302986,17714.840137657746,8959.927604423188,6358.820645539555,6479.018126782741,241.99259262047855,1463.7083390275852,1440.8692898654817,7016.784771044551,15481.751244466188,2365.2266513975305,9228.088969684337,1971.4567961954253,1118.7689242629135,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
