image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistLEN,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_corrp,type_autoc,roi_senth,texture3d_mean_autoc,texture3d_mean_contr,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_contr,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_dvarh,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_indnc,neighbor3d_entro,bin_num3d_denth,short_image_name
appliedMASKiso_flu_1mgml_roi1_8bit.ome,22,130.0060769,59.35961538,0.908299231,3.881761538,133.96,47.168,0.91066,3.7111,13.0,33.20078528,35.14175799,0.038857713,0.975073505,22.0,1858,68.5452,1495,59,25.339,9,1.0589,0.0074,0.0549,0.2893,131072,0.6111978888511658,1393.435302734375,0.5002889037132263,14.791438102722168,20.515737533569336,1739.522705078125,0.7679973840713501,0.6606907248497009,1209.797119140625,0.552781879901886,12.740354537963867,14.484872817993164,1457.4744873046875,0.8183790445327759,0.26328662037849426,929.3898315429688,0.18806158006191254,10.079264640808105,17.591087341308594,1305.2293701171875,0.1780066192150116,1mgml,flu,roi1,19980.755314714464,6445.311357243319,28314.142265319824,27648.39517211914,1814.0569620253164,29653.402153015137,23845.933192686356,12888.575070323488,6445.31170886076,42652.56398499375,19684.7202883263,57930.979157982496,57632.76281784077,65192.075031263026,63710.43379185772,65243.711601257324,19049.995678478823,48364.70376545783,35972.43782131444,22403.38941631505,19057.489509517854,19383.58218702237,18231.0,4069.0,28073.0,27639.0,185.0,29608.0,24367.5,10360.0,47147.0,17553.5,60438.0,60390.0,65370.0,64387.0,65535.0,15943.5,55049.0,34557.0,20757.0,17158.0,18973.0,4398.310824124953,7228.631705052008,2135.3476330800295,351.0252530793839,4994.772561931041,597.4180983277431,13935.063421855479,11093.871902132847,7228.632359203109,20843.523485091388,14934.829130109454,7754.617967955543,8235.124598915789,454.0649718681897,1952.6729942984496,2301.474967114713,13484.372087517559,17842.63177298727,3415.01061271899,15533.308930134457,4733.3757998659285,2601.4341136450125,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,23,99.14544167,54.99191667,0.929623333,3.760516667,121.69,46.2135,0.93169,3.79495,12.0,60.55667227,29.20436259,0.0240133,0.833561402,23.0,1517,84.4028,1210,51,23.7255,5,1.0466,0.0147,0.0426,0.2661,131072,0.6458815336227417,1331.392578125,0.5364884734153748,13.459232330322266,19.553428649902344,1837.1875,0.7940310835838318,0.6917951107025146,1185.3353271484375,0.5966684818267822,11.769283294677734,14.283207893371582,1515.10888671875,0.8373587727546692,0.24397169053554535,878.818603515625,0.1948462426662445,9.114179611206055,16.398361206054688,1372.074951171875,0.15717704594135284,1mgml,flu,roi1,21053.452219040802,8014.591479238754,28302.117042541504,27642.088287353516,2209.3698096885814,29642.639991760254,27409.201773356403,15893.351643598617,8014.59169550173,36908.108625626344,23717.035683391005,55753.815139584825,55357.052075876876,65088.90068002863,63181.92340730136,65269.77840423584,19319.36931359354,43164.925912670005,36860.52397995705,26451.138624567473,20211.415354330707,19786.645132426627,19066.5,5839.0,28073.0,27639.0,309.0,29608.0,28242.0,14655.5,34795.0,23084.5,56663.5,56613.0,65240.0,63535.0,65535.0,16612.0,46115.0,35330.5,26506.0,17960.0,19046.5,5291.404741821937,7906.055698534324,2060.365639248014,128.96435700118823,5631.771991341824,533.059982583981,13495.85435735494,11605.827952268708,7906.056131492376,21566.734742291344,15224.81027271624,8320.122052199727,8872.25369643326,508.29634494076276,2113.7696860892984,2162.027571070518,13274.250521213868,19191.91010812381,4049.105765204753,15597.842689355533,5724.423225877217,3363.559773819629,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,24,116.3332643,50.88307143,0.935345,4.256642857,137.42,44.1935,0.953865,4.3493,14.0,58.40729419,24.97016528,0.047597453,0.747528772,24.0,1841,69.1966,1500,43,34.8837,7,1.1012,0.016,0.0476,0.266,131072,0.6405648589134216,1361.9908447265625,0.5236384272575378,13.939790725708008,19.571876525878906,1763.78271484375,0.7880171537399292,0.700076162815094,1147.9410400390625,0.5811147689819336,11.562253952026367,13.55865478515625,1423.6204833984375,0.8409920334815979,0.2533051073551178,940.145263671875,0.18158842623233795,9.847282409667969,17.180198669433594,1341.6771240234375,0.16843488812446594,1mgml,flu,roi1,20863.46744708146,7763.605937372916,28308.58724975586,27642.191612243652,2029.3320455469702,29640.42921775221,26646.305408702723,15488.339772265148,7763.606140707605,38889.55788967287,23135.34322895486,56425.42944194997,56065.83290570879,65122.90907633098,63347.744868505455,65265.70683288574,18577.262197902415,44601.02325208467,36698.16581141757,25810.401789345262,20005.305323925593,19836.240057729312,18748.0,5514.5,28073.0,27639.0,282.5,29608.0,27733.5,13813.0,39129.5,22104.0,58135.0,58055.0,65289.0,63865.0,65535.0,15230.0,49533.5,35039.0,25594.5,17587.5,19212.5,5268.012932071087,7950.352562464644,2071.286218564267,136.97059813313498,5342.965277354532,516.86441184836,13684.700711119815,11817.945677968988,7950.352781081783,22055.7980566414,15450.013793512595,8462.72713792435,8999.500954982159,505.15532027489655,2137.850603120938,2173.5877484264493,13310.267715613478,19556.375114554638,4051.5782281277393,15798.705075268672,5703.771272509031,3330.4570213044135,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,25,108.3939688,62.42675,0.92958125,3.900575,124.975,58.3655,0.94294,4.0216,16.0,55.42025968,22.20222579,0.035744745,0.817602686,25.0,1833,69.5074,1507,44,34.25,4,1.0782,0.0083,0.0567,0.2474,131072,0.6305710673332214,1311.6583251953125,0.5269485116004944,13.798334121704102,19.64980697631836,1667.616943359375,0.7812473773956299,0.6892908811569214,1113.94482421875,0.5834630727767944,11.480236053466797,13.706449508666992,1384.64404296875,0.8356684446334839,0.2569791376590729,893.6688232421875,0.1673547774553299,9.644876480102539,17.45946502685547,1249.8896484375,0.1741003841161728,1mgml,flu,roi1,20232.658956428186,6695.991420066538,28329.993530273438,27643.140060424805,1711.285414113115,29647.20684814453,24328.156540010506,13536.67798984416,6695.992820872001,42248.07302313072,20657.29959726843,57740.76169983862,57445.569123184505,65188.23816568047,63670.19109736417,65243.89928436279,18089.880800340572,47629.38327057558,36182.665008068856,23265.86919978988,19296.56455083378,19603.86081226466,18261.5,4303.0,28073.0,27639.0,209.0,29608.0,24942.0,10926.0,47133.0,18456.0,60421.5,60394.0,65371.0,64389.5,65535.0,14788.0,55101.0,34585.5,21721.0,17165.0,19199.0,4642.092643165845,7400.0172796319375,2138.9437355579744,164.71871657646236,4570.721202437763,502.97960357518355,13929.470243953778,11474.290808186614,7400.020798367248,21564.40997923355,15427.129741225306,8079.435939055011,8566.179355421904,464.1865213193727,2025.9598644023688,2244.7626186337834,12772.831426504614,18793.528212999347,3620.245176882221,15905.439486085957,4986.31689113181,2759.636878426583,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
appliedMASKiso_flu_1mgml_roi1_8bit.ome,26,115.0518714,69.907,0.929332143,3.705014286,134.655,65.755,0.92262,3.7216,14.0,51.69203774,28.74204916,0.018100077,0.737071223,26.0,2174,58.2912,1771,52,34.0577,9,1.1016,0.0095,0.0608,0.3001,131072,0.6326442360877991,1326.539794921875,0.5170911550521851,13.95616626739502,19.135986328125,1622.6807861328125,0.782415509223938,0.6935759782791138,1105.588623046875,0.572559118270874,11.42614459991455,13.390328407287598,1362.8717041015625,0.8381525278091431,0.25332629680633545,910.4874877929688,0.16630420088768005,9.808480262756348,17.024097442626953,1198.7288818359375,0.1732715219259262,1mgml,flu,roi1,19894.248400451637,6264.353557180851,28331.59349822998,27644.827354431152,1418.5505319148936,29649.384735107422,24030.669714095744,12982.4140625,6264.353723404255,42996.45602810187,20054.024102393618,58119.445740810435,57859.16911303475,65215.07640195709,63772.02910550746,65233.51145172119,18139.60764127202,48485.17388031614,35918.654873917956,22702.619015957447,18958.782712332206,19389.499937272612,18223.0,4204.0,28073.0,27639.0,196.0,29608.0,24802.0,10650.0,48117.0,18268.5,60694.0,60670.0,65376.0,64447.0,65535.0,14927.0,55680.0,34551.0,21472.5,17146.0,19092.0,4070.925635598027,6758.72554555691,2153.4941053913067,222.5475704852141,3738.53400440611,436.5461577086619,13306.020430589142,10775.109683004606,6758.725799344934,20991.147561668866,14687.319237680695,7706.813676884722,8146.58428728708,426.13707328493723,1917.40220528112,2276.8438366882174,12904.38097217446,18033.1714127669,3221.1840173547666,15160.051067815944,4397.712135908524,2289.390514571182,D1,N1,t,appliedMASKiso_1mgml_roi1_8bit.ome
