image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistWID,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_denth,type_inf2h,roi_maxpr,texture3d_mean_autoc,texture3d_mean_contr,texture3d_mean_corrm,texture3d_mean_corrp,texture3d_mean_cprom,texture3d_mean_cshad,texture3d_mean_denth,texture3d_mean_dissi,texture3d_mean_dvarh,texture3d_mean_energ,texture3d_mean_entro,texture3d_mean_homom,texture3d_mean_homop,texture3d_mean_idmnc,texture3d_mean_indnc,texture3d_mean_inf1h,texture3d_mean_inf2h,texture3d_mean_maxpr,texture3d_mean_savgh,texture3d_mean_senth,texture3d_mean_sosvh,texture3d_mean_svarh,texture3d_median_autoc,texture3d_median_contr,texture3d_median_corrm,texture3d_median_corrp,texture3d_median_cprom,texture3d_median_cshad,texture3d_median_denth,texture3d_median_dissi,texture3d_median_dvarh,texture3d_median_energ,texture3d_median_entro,texture3d_median_homom,texture3d_median_homop,texture3d_median_idmnc,texture3d_median_indnc,texture3d_median_inf1h,texture3d_median_inf2h,texture3d_median_maxpr,texture3d_median_savgh,texture3d_median_senth,texture3d_median_sosvh,texture3d_median_svarh,texture3d_std_autoc,texture3d_std_contr,texture3d_std_corrm,texture3d_std_corrp,texture3d_std_cprom,texture3d_std_cshad,texture3d_std_denth,texture3d_std_dissi,texture3d_std_dvarh,texture3d_std_energ,texture3d_std_entro,texture3d_std_homom,texture3d_std_homop,texture3d_std_idmnc,texture3d_std_indnc,texture3d_std_inf1h,texture3d_std_inf2h,texture3d_std_maxpr,texture3d_std_savgh,texture3d_std_senth,texture3d_std_sosvh,texture3d_std_svarh,distance3d_maxpr,neighbor3d_corrp,bin_num3d_cprom,short_image_name
appliedMASKiso_flu_2mgml_roi2_8bit.ome,1,56.78753,49.88443333,0.920959667,3.808493333,32.64,40.589,0.92456,3.42865,30.0,52.92362778,20.14002483,0.037077673,0.860540842,1.0,3219,38.7185,2704,80,33.8,13,1.1854,0.0199,0.1122,0.2571,131072,0.5976098775863647,1319.7537841796875,0.45274826884269714,14.770483016967773,18.671571731567383,1485.3018798828125,0.7641454935073853,0.6170516014099121,1264.6187744140625,0.4485602378845215,14.208151817321777,14.429534912109375,1256.746826171875,0.7926778793334961,0.23980621993541718,775.8870849609375,0.19526009261608124,8.748027801513672,14.7835111618042,1072.40283203125,0.15853117406368256,2mgml,flu,roi2,15408.70357531267,6710.943470730863,22885.242767333984,13927.095611572266,452.11201939729824,26547.92987060547,28295.731970904053,16740.67980602702,6710.943609282993,29490.172240348016,23384.905853827502,52961.680668841764,52819.99626155519,65103.23919249592,62682.38961392061,65002.29515838623,11813.915900486749,38705.60936650354,31624.43916530723,26116.333217873223,15569.89647906471,12129.011691136488,15342.0,6196.0,22476.0,13923.0,134.0,26524.0,28319.0,16219.0,6196.0,29038.5,21794.0,53080.5,53016.5,65131.0,62737.0,65535.0,10002.5,38970.0,31707.0,24658.0,15871.0,12436.0,2991.4150920610464,3347.865297636223,2763.7867524864837,134.71437425036527,1156.6114210087167,326.77269993929724,5791.96662932904,6464.702071663995,3347.865631555163,11012.087119892518,8695.651938647594,4906.434778822382,5054.72850353808,219.15716519456515,1156.750745124776,2610.3239380935884,8509.886250880953,10858.24925860232,2983.648547696031,8401.815265365176,3528.0509327382474,2109.7031222428986,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,2,62.93653125,55.00059375,0.904906563,3.803728125,38.806,47.0995,0.919585,3.5215,32.0,52.8505875,23.21505005,0.060119578,0.8659472,2.0,3427,36.2471,2832,86,32.9302,11,1.2103,0.0118,0.1194,0.2295,131072,0.5824735760688782,1380.388671875,0.4542064666748047,15.397608757019043,18.960857391357422,1462.2027587890625,0.7546076774597168,0.5786846280097961,1387.442138671875,0.47279348969459534,15.404092788696289,16.379150390625,1401.1588134765625,0.7693365812301636,0.23687385022640228,768.3709106445312,0.1679629385471344,8.685355186462402,13.989566802978516,927.2501220703125,0.15762928128242493,2mgml,flu,roi2,15574.696518684126,6628.5843693343695,23072.9876021393,13928.466484069824,505.72235172235173,26561.017372131348,28298.59006734007,16535.6070966071,6628.58423983424,29107.051485148513,23947.795584045583,53049.8180772916,52907.407665282655,65106.14800383264,62702.01085915043,64845.724365234375,13024.127649769585,38740.794123283296,31799.304439476207,26738.291504791505,15651.318045352922,12187.547365059087,15558.0,6158.0,22476.0,13923.0,153.0,26524.0,28343.0,15949.5,6158.0,28685.0,22593.5,53303.0,53197.0,65132.0,62777.0,65535.0,10733.0,39120.0,31926.0,25594.5,15953.0,12600.0,2859.901587347156,3140.984351276964,3199.0714446314664,99.98313871385038,1159.8154651490572,379.5462745875008,5668.220697691077,6288.485966085384,3140.984148680367,10711.89880947387,8642.503895007365,4757.198072914674,4887.174942615014,205.4638183475615,1114.93750187995,3185.847262253928,9476.832950234737,10572.938563195006,2862.020264238578,8432.211346767717,3410.446849090722,2032.306719914327,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,3,65.91658148,57.03814815,0.928880741,3.923244444,32.32,50.878,0.93758,3.8827,27.0,62.2471395,25.28846194,0.036961888,0.949368103,3.0,3304,37.671,2685,77,34.8701,9,1.1911,0.0209,0.1129,0.2287,131072,0.600666344165802,1327.700927734375,0.4767874777317047,14.610275268554688,18.12470245361328,1435.751953125,0.7681925892829895,0.5897462368011475,1325.057861328125,0.5103570222854614,14.52226448059082,16.232906341552734,1432.537353515625,0.776429295539856,0.22854377329349518,758.9517211914062,0.15968459844589233,8.460105895996094,13.068121910095215,878.1827392578125,0.14976079761981964,2mgml,flu,roi2,16096.002297607785,6311.157295713215,23153.25311279297,13929.338256835938,530.2107271859878,26566.01170349121,27741.98739180808,15579.76010359163,6311.157227560826,30173.24726314367,23605.222722006405,53757.635356129205,53604.74057305041,65124.963441005544,62855.264360048655,64806.13272857666,14270.543722761142,40115.3484930396,32346.859710771725,26423.589450010222,16238.41829977024,12669.121232599,15941.0,5693.0,22476.0,13923.0,161.0,26524.0,27886.0,14614.0,5693.0,29996.0,22325.0,54313.0,54217.0,65163.0,63005.0,65535.0,11250.5,41086.0,32315.0,25395.0,16190.5,13066.0,2641.391233048972,3222.8772564366564,3309.0535827738254,79.17193026744943,1113.8765597154916,384.07083332947246,6181.725970086398,6533.424474320879,3222.877333190994,11133.416576404396,9074.501204436874,4833.57467375851,4976.363642688795,208.99656087085336,1136.3101549907692,3372.155489699823,10640.521244347961,10772.708358144318,2612.6656937086323,8924.24008126565,3161.3654317517676,1857.5743803023804,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,4,73.04182083,54.43041667,0.92373125,4.127845833,42.6885,50.9085,0.93448,4.06135,24.0,61.59089442,19.27236114,0.0395492,0.87581391,4.0,3043,41.0736,2460,79,31.1392,9,1.1726,0.0141,0.0935,0.2535,131072,0.6510162353515625,1247.74853515625,0.4839138984680176,13.23442268371582,15.481061935424805,1339.087158203125,0.8027203679084778,0.6401439905166626,1255.3759765625,0.5052599310874939,13.256355285644531,14.877562522888184,1402.39794921875,0.8063099384307861,0.2054762840270996,746.0742797851562,0.1521901935338974,7.970120906829834,10.896064758300781,817.638427734375,0.12882140278816223,2mgml,flu,roi2,17014.119346938776,5737.295904995905,23034.65781402588,13928.298202514648,542.1730548730549,26564.53314971924,26773.388943488942,13725.97027027027,5737.295904995905,32424.297714285713,22764.55077805078,55226.1746122449,55045.187836734694,65161.35991836735,63170.089551020406,64929.674476623535,14150.825515947467,42674.08775510204,33306.42636734694,25302.86167076167,17418.36636734694,13594.432653061225,16464.5,4755.5,22476.0,13923.0,166.0,26524.0,26223.5,12296.0,4755.5,33390.0,20842.5,56027.0,55961.5,65223.0,63396.0,65535.0,11262.0,45040.0,32838.0,23666.5,16605.5,13624.0,2038.3520885006799,3498.1394293934436,2954.941936400907,49.789532349270814,1105.2854598217098,360.17404233823544,7260.566026153872,6601.476590180171,3498.1393847458644,12022.271596181221,9922.197853895284,4603.064191649877,4826.635470182463,223.82214114544635,1118.082295345154,2985.035862728506,9907.94523394674,11166.286523743685,1897.8027826417374,9713.086134664265,2267.515007276456,1083.3882729447396,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,5,56.09537407,56.10511111,0.921417778,3.959718519,32.735,50.058,0.92359,3.9546,27.0,54.8112233,21.90156938,0.037823889,0.871342139,5.0,3108,40.1728,2499,68,36.75,12,1.1764,0.0103,0.0975,0.211,131072,0.6480542421340942,1248.4312744140625,0.4709600508213043,13.370588302612305,15.24473762512207,1315.7325439453125,0.8016697764396667,0.6356717348098755,1262.4901123046875,0.480182409286499,13.571694374084473,14.609965324401855,1356.8377685546875,0.8032466173171997,0.1993195116519928,729.9500122070312,0.16910743713378906,7.818262100219727,10.330826759338379,784.2671508789062,0.12390844523906708,2mgml,flu,roi2,16801.692807388277,6106.036233592706,23058.083587646484,13928.47534942627,581.1700856716184,26570.696266174316,27164.566454452568,14543.814587754461,6106.036390788336,31918.69092901307,23056.450915664544,54638.44783595523,54442.22470063395,65137.96102371449,63032.79838772795,64897.850357055664,14705.175638089006,41991.65406589966,33082.12945135791,25696.869606224947,17114.41809501448,13367.435313453863,16366.0,5065.0,22476.0,13923.0,171.0,26524.0,26877.0,13008.0,5065.0,32435.0,21496.0,55512.0,55438.0,65203.0,63276.0,65535.0,11890.0,43970.0,32739.0,24570.0,16516.0,13557.0,2248.300936272663,3757.6836908461128,3018.469878704649,56.31528860448156,1267.7885812760765,416.9047199051872,7496.718909452195,7189.2359137005315,3757.683743156909,12313.61071765875,10168.560218329132,5084.9331806148075,5300.858560204955,240.55826721205707,1223.053572697426,3024.093087995009,10234.992802602805,11479.53307459771,2168.4896521945143,9902.38118878204,2685.8034403324205,1412.6277353890966,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,6,81.0342125,55.37595833,0.9121275,3.912704167,51.8685,46.864,0.92152,3.9506,24.0,60.54259102,22.45422315,0.038798613,0.814295372,6.0,3227,38.6176,2602,84,30.9762,12,1.1882,0.0115,0.1054,0.2066,131072,0.6284905076026917,1290.210205078125,0.45375603437423706,14.0369873046875,15.703415870666504,1309.0216064453125,0.7895885109901428,0.6347769498825073,1248.8778076171875,0.4785889983177185,13.654243469238281,14.072952270507812,1275.0986328125,0.8032968044281006,0.19390156865119934,679.9782104492188,0.164159893989563,7.432506084442139,10.317567825317383,745.9794311523438,0.12270740419626236,2mgml,flu,roi2,16135.593440011586,6880.119099650349,23143.95719909668,13929.244934082031,640.3081293706293,26571.23722076416,28788.122887529138,16497.93159965035,6880.118953962704,28955.435305191513,24719.194784382285,53160.498081239595,52954.290493085224,65088.30164361741,62699.40069509811,64825.37017059326,15261.872779118228,39088.95098110202,32391.15907609876,27557.73921911422,16361.496415900368,12563.289479400479,15961.0,6066.0,22476.0,13923.0,193.0,26524.0,28426.0,15469.0,6066.0,28913.0,23420.5,53712.0,53580.0,65137.0,62853.0,65535.0,13106.0,40072.0,32336.0,26637.0,16264.0,12935.0,2540.4889082892414,3842.7087469845433,3212.3947483046495,72.4596862592141,1458.1654442806846,443.238569471307,6583.497164825574,6950.60345276392,3842.7085483452115,10944.85656921802,9590.10720476821,4898.142929286939,5115.565850640112,244.93640273318795,1185.6274349441787,3177.390203533981,10131.788768263254,10708.065792279609,2521.991930236429,9191.817741396699,3122.444567147561,1737.3862508033683,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,7,88.17869615,53.09296154,0.916414231,3.821511538,62.7455,41.654,0.929355,3.792,26.0,60.00367221,27.1935352,0.054480279,0.664323989,7.0,3508,35.364,2829,90,31.4333,16,1.2074,0.0139,0.1069,0.2089,131072,0.6235338449478149,1311.6123046875,0.43825358152389526,14.323175430297852,15.671813011169434,1298.2431640625,0.7868194580078125,0.6317275762557983,1281.590087890625,0.45466846227645874,14.017571449279785,13.46127700805664,1201.6251220703125,0.8006673455238342,0.1896083652973175,649.6832885742188,0.16267786920070648,7.153839588165283,10.286761283874512,738.2999877929688,0.12094208598136902,2mgml,flu,roi2,15585.866186126177,7365.290876436781,23132.274963378906,13929.403266906738,659.2253591954023,26564.868492126465,29903.599784482758,17795.239798850576,7365.290876436781,26423.881387382244,26071.19066091954,52153.362118184414,51948.2843990865,65056.86511561519,62475.428133028836,64849.58564758301,14983.370269071555,36414.50699400514,31820.3297173851,28860.33563218391,15848.427847559235,11926.899800171283,15470.0,6651.5,22476.0,13923.0,199.0,26524.0,28828.0,17184.0,6651.5,26513.5,24490.0,52323.0,52195.0,65098.0,62552.0,65535.0,12378.5,36946.0,31830.0,27595.5,15945.0,12262.0,2634.0459977310443,3753.21673384826,3209.0007857922583,104.4855753428213,1457.208872218934,402.3790657873668,5776.7297679094445,6227.8809343729745,3753.2171219061697,9607.088559985548,9091.447779709079,4311.252259578281,4537.137738277266,237.21254146418653,1062.1590403078287,3129.077375809781,10507.036146084552,9768.737977038012,2643.1595611680373,8569.218729174963,3206.9398758857255,1753.9412831233974,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,8,55.16851739,59.0706087,0.923496522,3.875426087,45.0,50.918,0.93779,3.9489,23.0,48.7773156,26.92262779,0.041078332,0.776003974,8.0,4064,30.2522,3199,88,36.3523,24,1.2502,0.0166,0.124,0.2194,131072,0.5877448916435242,1435.138427734375,0.4055502116680145,15.97502613067627,16.614166259765625,1315.0887451171875,0.7633137702941895,0.5917513966560364,1431.61572265625,0.4223855137825012,15.869420051574707,14.892759323120117,1289.9998779296875,0.7761396765708923,0.19138213992118835,653.9651489257812,0.14968951046466827,7.351612091064453,10.239856719970703,678.5654296875,0.12590667605400085,2mgml,flu,roi2,14754.830009847366,7549.649629583515,23208.745719909668,13930.457565307617,644.9556122766606,26573.561500549316,30099.96632011455,18574.37645520762,7549.649629583515,25286.432914820285,26291.04189752848,51544.67977597243,51364.05576070901,65046.355551452485,62350.62863121615,64748.93817138672,14607.364387414309,34432.5839487937,30926.618906942393,29130.23339351304,14887.735352043328,11181.884293451501,14782.0,7064.0,22476.0,13923.0,186.0,26524.0,28883.0,18500.0,7064.0,24577.0,24996.0,51274.0,51160.5,65071.0,62324.0,65535.0,11631.0,33959.5,31121.5,27993.0,15501.0,11486.0,2875.8543627950526,3348.2208579200164,3506.4023672818917,150.5951685820267,1440.473050834996,443.21287168757596,5412.30084391105,5644.134186103076,3348.2208579200164,9671.064251700369,8849.247396710663,4097.297896794419,4285.256962807431,215.4402073673143,996.8345655033845,3469.5529369323303,11034.128921997286,9678.724341066485,2957.135858914297,8347.513179050391,3504.158303192993,1897.6933116291343,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,9,55.77615172,55.87572414,0.92095069,3.678668966,40.179,53.795,0.93372,3.5108,29.0,44.5359865,21.50927532,0.04849925,0.889327242,9.0,4267,28.7178,3414,98,34.8367,19,1.2685,0.0124,0.1333,0.2428,131072,0.5736201405525208,1481.819580078125,0.39876264333724976,16.58367919921875,16.90958595275879,1318.5672607421875,0.75464928150177,0.5653581023216248,1498.92724609375,0.4014395475387573,16.73671531677246,16.043174743652344,1354.5999755859375,0.7593835592269897,0.18705232441425323,644.651123046875,0.1381700187921524,7.274668216705322,9.963920593261719,637.93359375,0.12412542849779129,2mgml,flu,roi2,14450.874120272358,7448.004466357309,23257.858268737793,13930.423141479492,630.4036542923434,26579.349815368652,29917.543271461716,18568.910150812066,7448.004408352668,25179.008239400355,26165.812819025523,51516.150025748124,51357.554442982204,65053.27464667849,62354.06259655547,64672.24666595459,14292.62782324059,34056.33672827144,30596.548148995822,29039.085556844548,14530.109629799164,10930.44744521371,14465.0,7131.0,22476.0,13923.0,180.0,26524.0,28887.0,18702.0,7131.0,24065.0,25149.0,51127.0,51019.0,65067.0,62288.0,65535.0,11206.0,33199.0,30793.0,28017.0,15279.0,11150.0,2921.477141299475,2954.03149072279,3710.7208878577844,165.2850579712038,1473.133702581915,479.35561468020364,5184.178874473366,5284.441910181049,2954.0314549170766,9851.168461677751,8655.435811195564,4013.433414460531,4161.459985267906,193.8619644865547,958.7498145062552,3718.00530430921,10958.261730782797,9728.095743542151,3021.950776304264,8275.187316610338,3532.893365882963,1904.6040226189782,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
appliedMASKiso_flu_2mgml_roi2_8bit.ome,10,51.97770769,56.67157692,0.911658846,3.641296154,45.3015,48.293,0.928535,3.6225,26.0,34.76968046,29.74195941,0.051779253,0.64572132,10.0,4315,28.3761,3421,92,37.1848,23,1.2738,0.0157,0.1297,0.293,131072,0.5876768231391907,1454.90283203125,0.4076381325721741,16.12261962890625,16.400508880615234,1311.9439697265625,0.7641645073890686,0.5822506546974182,1469.650146484375,0.4145700931549072,16.2440185546875,15.180198669433594,1293.431884765625,0.7702723741531372,0.18223866820335388,650.6727905273438,0.13845404982566833,7.254001617431641,9.66291332244873,650.1749267578125,0.12015694379806519,2mgml,flu,roi2,14770.887418387154,7298.007547842624,23250.121253967285,13929.860168457031,629.5158088672293,26576.3277053833,29751.075002971593,18210.036015690002,7298.007607274456,25585.656843715075,25947.915606799,51738.31645197341,51582.96123757426,65061.35080289395,62404.94341509323,64677.22124481201,14457.141290111329,34807.12746309041,30942.386918416563,28852.31558302627,14900.371154637962,11220.919887065467,14789.0,6978.5,22476.0,13923.0,180.0,26524.0,28866.0,18213.5,6978.5,24875.0,24836.5,51476.0,51374.0,65077.0,62372.0,65535.0,11241.0,34431.0,31129.0,27722.5,15490.0,11508.0,2896.311354069061,2848.702571693511,3687.5323062176326,148.73468798306553,1463.421765431369,486.9380214117614,5071.807283910202,5272.206690334143,2848.7025640262837,9500.986963743297,8505.75346902581,3963.2688222619445,4100.425217910425,186.16189342185604,942.076804439184,3736.389556703389,11019.410068846724,9565.845375744326,2965.247026104083,8190.187823225617,3476.0132144890877,1918.4103032090172,D1,N2,t,appliedMASKiso_2mgml_roi2_8bit.ome
