image_name,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,total_fibers_HistANG,total_fibers_HistLEN,total_fibers_HistSTR,total_fibers_HistWID,slice,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,Unnamed: 13,Unnamed: 14,concentration_asmmean.,concentration_contrastmean.,concentration_correlationmean.,concentration_dissimilaritymean.,concentration_glcmmeanmean.,concentration_glcmvariancemean.,concentration_homogeneitymean.,type_asmmean.,type_contrastmean.,type_correlationmean.,type_dissimilaritymean.,type_glcmmeanmean.,type_glcmvariancemean.,type_homogeneitymean.,roi_asmmean.,roi_contrastmean.,roi_correlationmean.,roi_dissimilaritymean.,roi_glcmmeanmean.,roi_glcmvariancemean.,roi_homogeneitymean.,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.
appliedMASKiso_flu_1mgml_roi1_8bit.ome,95.89894369,59.29933654,0.921462063,3.815406551,104.7874778,49.74594444,0.927607222,3.732635556,7.50937939,5.487276521,0.193005218,0.938663095,743.0,743.0,743.0,743.0,22.0,2344.4444444444443,56.71230222222223,1933.3555555555556,62.77777777777778,30.95643777777778,8.133333333333333,1.1231177777777779,0.012604444444444446,0.07934666666666668,0.17100066666666666,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.5582405924797058,1513.303466796875,0.39073723554611206,17.38669776916504,19.288043975830078,1416.0194091796875,0.7289707064628601,0.584234893321991,1411.9412841796875,0.4175950884819031,15.339405059814453,16.891376495361328,1373.58544921875,0.7720286250114441,0.27647486329078674,918.2645263671875,0.22284820675849915,11.429351806640625,14.542981147766113,973.9601440429688,0.19575203955173492
appliedMASKiso_flu_1mgml_roi2_8bit.ome,97.92962735,56.15145511,0.910948719,3.740489378,109.0998778,47.79662222,0.919607111,3.575258889,7.723619791,5.13599324,0.209448418,0.954671362,1379.0,1379.0,1379.0,1379.0,,,,,,,,,,,,,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi2,roi2,roi2,roi2,roi2,roi2,roi2,0.3731363117694855,2566.613525390625,0.32605910301208496,27.44622802734375,33.35013198852539,2002.3704833984375,0.568798303604126,0.30815428495407104,2725.3359375,0.3198717534542084,28.457469940185547,34.504600524902344,1953.4793701171875,0.5720027685165405,0.2980814576148987,1144.28076171875,0.21955443918704987,13.518352508544922,19.82888412475586,982.1483764648438,0.25289186835289
appliedMASKiso_flu_1mgml_roi3_8bit.ome,87.1413977,56.77765729,0.90453141,3.605054105,86.62291111,46.56346667,0.915306333,3.452722222,7.739782628,5.309332659,0.22346309,0.939055056,1673.0,1673.0,1673.0,1673.0,22.0,4962.733333333334,24.963626666666666,4120.6,122.88888888888889,33.767606666666666,29.22222222222222,1.3098311111111112,0.020293333333333333,0.2222222222222222,0.14886844444444444,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi3,roi3,roi3,roi3,roi3,roi3,roi3,0.3405552804470062,2747.45263671875,0.278313547372818,29.616222381591797,32.50965881347656,1919.062744140625,0.5525047183036804,0.31412234902381897,2916.069091796875,0.27014321088790894,30.22626495361328,31.94967269897461,1887.19384765625,0.5769965052604675,0.25441086292266846,981.3846435546875,0.17645147442817688,11.72623348236084,17.262243270874023,740.707275390625,0.2244993895292282
appliedMASKiso_flu_2mgml_roi1_8bit.ome,73.67926965,55.81651195,0.929714362,3.851232888,65.6453,48.04045556,0.936389556,3.789725556,6.785768218,5.012269806,0.18818901,0.899789862,1505.0,1505.0,1505.0,1505.0,22.0,3830.2444444444445,32.75249111111111,3120.9555555555557,102.04444444444445,31.254831111111113,17.177777777777777,1.2344977777777777,0.01931333333333333,0.10513111111111112,0.1990008888888889,131072.0,,,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6839072704315186,935.6629028320312,0.5525145530700684,10.691219329833984,13.662946701049805,1204.0574951171875,0.8254289031028748,0.6993868350982666,888.9142456054688,0.5805880427360535,10.086484909057617,11.774198532104492,1093.1009521484375,0.841637372970581,0.17628201842308044,509.8431701660156,0.1497349888086319,5.92769718170166,9.658109664916992,774.7349243164062,0.10844641178846359
appliedMASKiso_flu_2mgml_roi2_8bit.ome,71.41402549,55.45948044,0.923481492,3.845065687,63.93952222,48.2037,0.932301444,3.736476667,6.569453135,4.979063245,0.197900716,0.904680839,1252.0,1252.0,1252.0,1252.0,22.0,3542.222222222222,35.61633555555556,2860.4444444444443,87.55555555555556,32.79200888888889,15.022222222222222,1.2157022222222222,0.01564222222222222,0.10282444444444444,0.23507311111111112,131072.0,,,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,flu,flu,flu,flu,flu,flu,flu,roi2,roi2,roi2,roi2,roi2,roi2,roi2,0.6756662130355835,1141.6263427734375,0.4652720093727112,12.27410888671875,13.964090347290039,1228.7208251953125,0.8184167146682739,0.6909616589546204,1088.31298828125,0.49186697602272034,11.586592674255371,11.908628463745117,1126.33935546875,0.8363479971885681,0.19416308403015137,665.0685424804688,0.16978779435157776,7.29723596572876,10.424603462219238,818.1587524414062,0.12098795175552368
appliedMASKiso_flu_2mgml_roi3_8bit.ome,90.07780578,52.36721987,0.911947527,3.720191815,94.90484444,44.92942222,0.919378,3.630563333,7.034690716,4.708148173,0.207987039,0.901799139,1433.0,1433.0,1433.0,1433.0,22.0,4579.555555555556,27.016702222222225,3762.2,150.75555555555556,25.030744444444444,22.488888888888887,1.2901466666666668,0.020984444444444444,0.14995999999999998,0.065406,131072.0,,,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,2mgml,flu,flu,flu,flu,flu,flu,flu,roi3,roi3,roi3,roi3,roi3,roi3,roi3,0.5430888533592224,2823.431396484375,0.40040504932403564,23.72165870666504,25.396984100341797,2554.54833984375,0.7284755706787109,0.5478533506393433,2779.083740234375,0.4064866602420807,23.189300537109375,22.365163803100586,2453.681884765625,0.7465308904647827,0.21092045307159424,1273.3038330078125,0.1562676727771759,11.009479522705078,15.843894958496094,1319.7684326171875,0.1477706879377365
appliedMASKiso_flu_3mgml_roi1_8bit.ome,73.8993769,59.24100005,0.915907117,3.669491995,65.2301,51.41917778,0.924427778,3.569077778,6.848860673,5.28414403,0.207464444,0.898180611,2288.0,2288.0,2288.0,2288.0,22.0,4837.933333333333,25.580237777777775,3892.2444444444445,57.51111111111111,72.89177555555555,33.0,1.2942444444444445,0.019904444444444443,0.007868888888888889,0.2605628888888889,131072.0,,,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.49128836393356323,303.78167724609375,0.39421287178993225,8.230188369750977,8.800664901733398,269.4832458496094,0.7102971076965332,0.4838518500328064,303.78253173828125,0.4033978283405304,8.299430847167969,8.183069229125977,260.4979248046875,0.716330885887146,0.18256115913391113,110.00019836425781,0.1403447836637497,2.9505250453948975,4.680755615234375,123.85261535644531,0.1230272427201271
appliedMASKiso_flu_3mgml_roi2_8bit.ome,97.67632537,54.58232791,0.912276402,3.604271057,100.7642889,47.74154444,0.920479778,3.48586,6.346828014,4.884471176,0.211275238,0.894745905,1984.0,1984.0,1984.0,1984.0,22.0,5571.311111111111,21.63551111111111,4614.177777777778,143.8,32.25628888888889,33.24444444444445,1.3420555555555556,0.021524444444444443,0.18298444444444442,0.1970177777777778,131072.0,,,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,flu,flu,flu,flu,flu,flu,flu,roi2,roi2,roi2,roi2,roi2,roi2,roi2,0.4879520833492279,2393.180908203125,0.39387592673301697,23.174314498901367,24.823211669921875,2106.52587890625,0.6940473318099976,0.4857886731624603,2396.1865234375,0.40228524804115295,23.117223739624023,22.53643035888672,2042.2763671875,0.7058217525482178,0.18617361783981323,849.2006225585938,0.13127762079238892,8.358214378356934,13.370270729064941,923.9371948242188,0.13485769927501678
appliedMASKiso_flu_3mgml_roi3_8bit.ome,70.15654501,56.90451594,0.913669278,3.550182808,46.76245556,48.66643333,0.920675222,3.476166667,7.894413935,5.205207514,0.199402173,0.838500854,1863.0,1863.0,1863.0,1863.0,22.0,4570.0,27.361888888888892,3861.6444444444446,77.66666666666667,50.207171111111116,26.31111111111111,1.2803622222222222,0.016775555555555557,0.031884444444444444,0.27069333333333334,131072.0,,,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,3mgml,flu,flu,flu,flu,flu,flu,flu,roi3,roi3,roi3,roi3,roi3,roi3,roi3,0.5450825691223145,424.39910888671875,0.3934459090232849,9.174332618713379,9.454499244689941,374.9715881347656,0.7433209419250488,0.5471271276473999,418.5850830078125,0.40860530734062195,8.950353622436523,8.824411392211914,368.13616943359375,0.7550011873245239,0.18458709120750427,169.0927276611328,0.14602605998516083,3.7776377201080322,5.139750957489014,175.09490966796875,0.12099436670541763
appliedMASKiso_shg_1mgml_roi1_8bit.ome,96.31252327,58.97610523,0.922656552,3.739709355,101.9619333,49.75386667,0.930702667,3.680428889,7.491359147,5.392995312,0.189615437,0.897215506,717.0,717.0,717.0,717.0,22.0,1757.2888888888888,75.21476666666666,1452.2,34.48888888888889,43.907900000000005,5.888888888888889,1.0764777777777776,0.012597777777777777,0.0122,0.19703266666666666,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,shg,shg,shg,shg,shg,shg,shg,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.556755781173706,307.29803466796875,0.38554811477661133,8.135993957519531,8.222489356994629,290.6127624511719,0.7242340445518494,0.5838574767112732,278.838623046875,0.41680651903152466,7.065653324127197,7.06018590927124,260.3283386230469,0.77052241563797,0.27820247411727905,199.11959838867188,0.21806639432907104,5.544680595397949,6.2908501625061035,237.456298828125,0.20155802369117737
