image_name,slice,mean_HistANG,mean_HistLEN,mean_HistSTR,mean_HistWID,median_HistANG,median_HistLEN,median_HistSTR,median_HistWID,n_HistANG,n_HistLEN,n_HistSTR,n_HistWID,std_HistANG,std_HistLEN,std_HistSTR,std_HistWID,z_depth_HistANG,z_depth_HistLEN,z_depth_HistSTR,z_depth_HistWID,Area (microns^2),Lacunarity,Total Length (microns),Endpoints,HGU (microns),Branchpoints,Box-Counting Fractal Dimension,Curvature_40.0,% High Density Matrix,Alignment,TotalImageArea,Unnamed: 13,Unnamed: 14,concentration_asmmean.,concentration_contrastmean.,concentration_correlationmean.,concentration_dissimilaritymean.,concentration_glcmmeanmean.,concentration_glcmvariancemean.,concentration_homogeneitymean.,type_asmmean.,type_contrastmean.,type_correlationmean.,type_dissimilaritymean.,type_glcmmeanmean.,type_glcmvariancemean.,type_homogeneitymean.,roi_asmmean.,roi_contrastmean.,roi_correlationmean.,roi_dissimilaritymean.,roi_glcmmeanmean.,roi_glcmvariancemean.,roi_homogeneitymean.,texture_mean_asmmean.,texture_mean_contrastmean.,texture_mean_correlationmean.,texture_mean_dissimilaritymean.,texture_mean_glcmmeanmean.,texture_mean_glcmvariancemean.,texture_mean_homogeneitymean.,texture_median_asmmean.,texture_median_contrastmean.,texture_median_correlationmean.,texture_median_dissimilaritymean.,texture_median_glcmmeanmean.,texture_median_glcmvariancemean.,texture_median_homogeneitymean.,texture_std_asmmean.,texture_std_contrastmean.,texture_std_correlationmean.,texture_std_dissimilaritymean.,texture_std_glcmmeanmean.,texture_std_glcmvariancemean.,texture_std_homogeneitymean.,concentration_3D,type_3D,roi_3D,texture3d_mean_3D,texture3d_median_3D,texture3d_std_3D,distance3d_3D,neighbor3d_3D,bin_num3d_3D
appliedMASKiso_flu_1mgml_roi1_8bit.ome,11,99.977,64.4745625,0.931305625,3.75549375,87.1085,63.1365,0.931475,3.87165,16.0,16.0,16.0,16.0,47.85084469,28.22198276,0.031495979,0.666389391,11.0,11.0,11.0,11.0,2085.0,60.8647,1722.0,56.0,30.75,5.0,1.1046,0.0099,0.0597,0.09127,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.7034797072410583,1007.0534057617188,0.46729740500450134,10.913488388061523,13.24962329864502,1140.4788818359375,0.8325265645980835,0.7555798292160034,810.2974853515625,0.5198068022727966,8.661561012268066,9.584613800048828,936.0091552734375,0.8735706806182861,0.2121143341064453,716.0216064453125,0.1985950469970703,7.894847393035889,11.9024076461792,879.0341186523438,0.13554884493350983,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,12,101.9865,72.86183333,0.929171667,4.022825,82.4795,62.0485,0.92882,3.701,12.0,12.0,12.0,12.0,45.222568,37.51314785,0.027290241,1.086213562,12.0,12.0,12.0,12.0,2386.0,52.9342,1960.0,51.0,38.4314,10.0,1.1114,0.0144,0.0768,0.04597,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6548357009887695,1135.510986328125,0.4238623082637787,12.753191947937012,14.838855743408203,1168.4600830078125,0.8006601333618164,0.7010400295257568,955.841796875,0.4754573404788971,10.62660026550293,11.718738555908203,1085.260986328125,0.8423956632614136,0.228095144033432,741.7212524414062,0.2052249312400818,8.455536842346191,12.761115074157715,824.6055908203125,0.1520897001028061,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,13,88.2495,56.5880625,0.905146875,4.01584375,96.6605,49.2585,0.919495,4.03645,16.0,16.0,16.0,16.0,59.74026008,29.56239864,0.046751043,0.968473055,13.0,13.0,13.0,13.0,2475.0,50.9588,1981.0,64.0,30.9531,9.0,1.1316,0.013,0.0799,0.08277,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6475334763526917,1206.1546630859375,0.38738253712654114,13.481071472167969,14.63304328918457,1141.1282958984375,0.7959596514701843,0.6978157758712769,1003.0199584960938,0.4322923719882965,11.132528305053711,10.922819137573242,972.433349609375,0.8404217958450317,0.23106852173805237,796.19140625,0.18784692883491516,8.998893737792969,12.338525772094727,822.1588745117188,0.15258826315402985,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,14,99.11377895,56.69252632,0.917860526,3.759331579,127.57,49.727,0.93825,3.8932,19.0,19.0,19.0,19.0,57.09057692,30.37402876,0.046148537,0.897820363,14.0,14.0,14.0,14.0,3033.0,41.2156,2411.0,68.0,35.4559,15.0,1.1921,0.0134,0.0915,0.1109,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6197900176048279,1289.3046875,0.3747250735759735,14.552229881286621,15.85137939453125,1195.5753173828125,0.7774853706359863,0.6793123483657837,1111.94677734375,0.3765687048435211,12.402227401733398,10.684510231018066,924.8787841796875,0.8294984102249146,0.23444411158561707,764.1942749023438,0.16486944258213043,8.789377212524414,13.356324195861816,858.141357421875,0.15828654170036316,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,15,109.5071895,54.82773684,0.897178421,3.736784211,127.69,45.615,0.90968,3.3936,19.0,19.0,19.0,19.0,50.34510786,24.64268574,0.062468061,1.012493844,15.0,15.0,15.0,15.0,2868.0,43.7019,2282.0,66.0,34.5758,13.0,1.1693,0.0097,0.0815,0.09249,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.639186441898346,1252.63818359375,0.4076593816280365,13.855585098266602,15.641120910644531,1240.7431640625,0.7904850840568542,0.6947945356369019,1088.991943359375,0.4135547876358032,11.900301933288574,10.460325241088867,924.5426635742188,0.8380979299545288,0.23249167203903198,775.72509765625,0.16295409202575684,8.761259078979492,13.616375923156738,939.5067138671875,0.15433411300182343,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,16,96.3883,55.92966667,0.930754444,4.066294444,117.23,48.9285,0.93476,3.7136,18.0,18.0,18.0,18.0,58.15755878,32.14860429,0.024165449,1.13397665,16.0,16.0,16.0,16.0,2908.0,43.0732,2298.0,84.0,27.3571,5.0,1.1882,0.0156,0.0813,0.08086,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6355357766151428,1253.0498046875,0.4352025091648102,13.813426971435547,16.275981903076172,1309.2039794921875,0.7884058356285095,0.6906611919403076,1099.900634765625,0.47291669249534607,11.933853149414062,10.997345924377441,989.5774536132812,0.8367407321929932,0.23421438038349152,772.3323364257812,0.1643616259098053,8.747299194335938,14.013045310974121,982.0713500976562,0.1555119901895523,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,17,102.2902368,60.78657895,0.89907,3.918705263,116.0,45.741,0.9077,3.5597,19.0,19.0,19.0,19.0,53.28900244,34.95973357,0.062571353,1.196362442,17.0,17.0,17.0,17.0,2670.0,47.091,2181.0,66.0,33.0455,7.0,1.1629,0.0149,0.0859,0.1398,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6096400618553162,1310.7091064453125,0.4511750638484955,14.562806129455566,17.847152709960938,1389.4183349609375,0.770164430141449,0.6557149887084961,1178.356689453125,0.46994948387145996,12.848502159118652,12.667265892028809,1120.7908935546875,0.8155607581138611,0.24279190599918365,781.8021240234375,0.15383872389793396,8.931192398071289,15.015226364135742,1002.2328491210938,0.1648033857345581,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,18,108.8247647,57.48782353,0.920428235,3.743994118,128.66,48.196,0.91819,3.7997,17.0,17.0,17.0,17.0,55.8288134,31.96168137,0.027531829,0.814360194,18.0,18.0,18.0,18.0,2586.0,48.6856,2119.0,62.0,34.1774,9.0,1.1526,0.0139,0.0777,0.1719,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.6139388084411621,1313.9090576171875,0.4414934515953064,14.436287879943848,17.961156845092773,1409.797119140625,0.7727082967758179,0.656067967414856,1191.17333984375,0.4680568277835846,12.838303565979004,12.693657875061035,1130.70263671875,0.8162499666213989,0.24890489876270294,802.3701782226562,0.1664568930864334,9.05781078338623,15.390414237976074,1054.20849609375,0.1668434888124466,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,19,118.6709917,69.47758333,0.91971,3.853675,143.845,57.3755,0.91299,3.95285,12.0,12.0,12.0,12.0,52.71841002,42.29945822,0.026300702,0.803113021,19.0,19.0,19.0,19.0,2618.0,48.0661,2127.0,76.0,27.9868,9.0,1.1519,0.0174,0.0712,0.1612,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.614548921585083,1329.8497314453125,0.43488234281539917,14.53281021118164,18.496124267578125,1468.272216796875,0.7719045281410217,0.6323239207267761,1276.1455078125,0.4545464515686035,13.817395210266113,13.27073860168457,1156.68603515625,0.8018142580986023,0.25615254044532776,832.4285278320312,0.19041165709495544,9.327815055847168,16.25949478149414,1133.1595458984375,0.1717560738325119,,,,,,,,,
appliedMASKiso_flu_1mgml_roi1_8bit.ome,20,108.9923071,55.03971429,0.924761429,3.703942857,140.43,55.127,0.92159,3.7643,14.0,14.0,14.0,14.0,58.0657829,16.70030483,0.021237926,0.732212457,20.0,20.0,20.0,20.0,2123.0,59.7395,1664.0,60.0,27.7333,10.0,1.1015,0.0203,0.0621,0.2498,131072.0,,,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,1mgml,flu,flu,flu,flu,flu,flu,flu,roi1,roi1,roi1,roi1,roi1,roi1,roi1,0.625289261341095,1314.033203125,0.4429909586906433,14.23149299621582,18.47019386291504,1511.68798828125,0.778319239616394,0.6383802890777588,1245.0062255859375,0.49704766273498535,13.323797225952148,13.895599365234375,1266.4775390625,0.8058737516403198,0.2573573589324951,857.873291015625,0.20298369228839874,9.526287078857422,16.569198608398438,1185.5704345703125,0.17207010090351105,,,,,,,,,
